state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,scheme_type_name,tubewell_type,scheme_owner_name,location_particulars,total_owners_holding,scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_depth,scheme_diameter,scheme_bore_depth,nearest_scheme_distance,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name1,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,culturable_command_area,ref_selection_id_located_in_major_medium_scheme_name,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_scheme_functioning_name,ref_selection_under_utilisation_name,ref_reason_for_under_utilisation_name,ref_sub_scheme_type_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,ref_scheme_type_dugwell_name,ref_scheme_type_tubewell_name
KERALA,THRISSUR,MULLASSERY,MULLASSERY,83,Tube well,Deep Tube well,Owned by individual farmer,MULLASERY,0.142,OBC,Male,Up to 2013-2014,122,100,NA,50,10000,50000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Electric,5,0,0,60,0,NA,NA,2,NA,0.14,Yes,0,0,0.14,0,0.14,0,0,0.14,0,0.14,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KOZHIKODE,KOZHIKODE,KADALUNDY,27,Tube well,Deep Tube well,Owned by individual farmer,NAMBALA ,0.248,OBC,Male,During 2017-2018,170,0.2,NA,20,5000,6000,5000,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Turbine/Jet pump,Electric,5,0,0,10,0,NA,NA,3,NA,0.24,Yes,0,0,0.24,0,0.24,0,0,0.24,0,0.24,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,IDUKKI,DEVIKULAM,SANTHANPARA,1,Tube well,Deep Tube well,Owned by individual farmer,MAYAPARAMBIL ,1.618,OBC,Male,Up to 2013-2014,91,152,NA,40,60000,30000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,6,0,0,240,0,NA,NA,3,NA,1.52,Yes,0,0,1.52,0,1.52,0,0,1.52,0,1.52,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,IDUKKI,DEVIKULAM,SANTHANPARA,4,Tube well,Deep Tube well,Owned by individual farmer,PALLIKUNNU ,0.242,Others,Female,Up to 2013-2014,240,150,NA,60,80000,30000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,100,0,NA,NA,4,NA,0.2,Yes,0,0,0.2,0,0.2,0,0,0.2,0,0.2,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,IDUKKI,DEVIKULAM,SANTHANPARA,6,Tube well,Deep Tube well,Owned by individual farmer,PIRAKKADAN  CITY ,1.371,Others,Male,During 2017-2018,210,150,NA,50,180000,100000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Electric,5,0,0,100,0,NA,NA,5,NA,1.21,Yes,0,0,1.21,0,1.21,0,0,1.21,0,1.21,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,6,Tube well,Deep Tube well,Owned by individual farmer,Kaniyamkundu,1.011,Others,Male,Up to 2013-2014,75,150,NA,55,52500,12000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,85,0,0,NA,6,NA,NA,0.81,Yes,0,0,0.81,0,0.81,0,0,0.81,0,0.81,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,14,Tube well,Deep Tube well,Owned by individual farmer,Thaivalappu,0.2,Others,Female,During 2015-2016,80,150,NA,75,68000,20000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,80,0,NA,NA,6,NA,0.2,Yes,0,0,0.2,0,0.2,0,0,0.2,0,0.2,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,18,Tube well,Deep Tube well,Owned by individual farmer,Maruthatallam,0.223,Others,Female,Up to 2013-2014,72,150,NA,70,51000,12000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,80,0,NA,NA,5,NA,0.22,Yes,0,0,0.22,0,0.22,0,0,0.22,0,0.22,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,19,Tube well,Deep Tube well,Owned by individual farmer,Thattathilkandom,0.607,Others,Male,Up to 2013-2014,75,150,NA,80,52500,12200,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,6,NA,0.5,Yes,0,0,0.5,0,0.5,0,0,0.5,0,0.5,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,20,Tube well,Deep Tube well,Owned by individual farmer,Kulavayal,0.27,OBC,Male,Up to 2013-2014,80,150,NA,65,56000,11800,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,90,0,NA,NA,5,NA,0.27,Yes,0,0,0.27,0,0.27,0,0,0.27,0,0.27,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
